language,timestamp,consent,state,n_projects,skill_cleaning,skill_normalization,skill_outliers,skill_integration,skill_transformation,skill_validation,skill_pipelines,skill_monitoring,skill_libs,skill_split,word_1,word_2,word_3,word_4,word_5,re_experience,imp_precision,imp_completeness,imp_consistency,imp_credibility,imp_currentness,imp_accessibility,imp_compliance,imp_reliability,imp_efficiency,imp_traceability,imp_understandability,imp_availability,imp_recoverability,imp_justification,pri_precision,pri_completeness,pri_consistency,pri_credibility,pri_currentness,pri_accessibility,pri_compliance,pri_reliability,pri_efficiency,pri_traceability,pri_understandability,pri_availability,pri_recoverability,pri_justification,balance_open,incorporation_open,measurement_open,discussion_freq,documentation_open,challenges_open,support_freq,country,region,norm_country,seniority_norm,role_group,gender_norm,age_band,education_norm,versioning_norm,seniority_ordinal,seniority_group
pt,2025-02-19 14:54:48,Aceito participar,CE,1,4,4,4,4,3,3,3,4,4,4,valor,confiabilidade,segurança,desempenho,qualidade,"Sim, já participei de alguns processos de elicitação de requisitos, como análise de documentos e entrevistas semiestruturadas.",5,5,5,5,4,5,4,5,5,5,5,5,5,,4,4,5,5,3,5,4,5,5,5,5,5,5,,Essas características são essenciais para a entrega de valor e resultados eficientes no âmbito da engenharia e análise de dados.,"Avaliação inicial durante a coleta e preparação de dados, Monitoramento contínuo durante todo o ciclo de vida do modelo, Conjuntos de testes são aplicados para validar a consistência, completude e precisão dos dados antes de serem usados no treinamento.","Testes A/B, Análise de métricas de performance (ex.: precisão, recall)",4,"Linguagem estruturada (texto), Ferramentas de Gerenciamento de Projetos (Jira, Trello ou Asana), Documentação Centralizada (Sistemas como Confluence, Google Docs ou Notion), Reuniões de Alinhamento, Relatórios Periódicos","Inconsistência entre diferentes fontes de dados, Dados incompletos ou ausentes, Falta de padronização nos formatos de dados",3,Brazil,Northeast,Brazil,Junior (up to 5 years),Developer,male,25-34,Undergraduate,ensures_consistency_traceability,2,Junior (up to 5 years)
pt,2025-02-21 14:46:03,Aceito participar,SP,3,4,4,4,4,5,4,3,3,3,4,indispensável,investimento,custoso,demorado,negligenciado,Nunca participei.,5,5,4,5,5,4,4,5,5,5,4,5,5,"Todas as características são importantes ou muito importantes. A separação que fiz foi mais pensando em algo que podemos fazer/corrigir em um segundo momento ou algo que é fundamental de ser pensado desde o início. Considero que algo que se reflete na qualidade dos dados, da informação presente naquele dado são coisas inegociáveis desde o momento inicial. Já questões de documentação, tornar esses dados acessíveis e consistentes entre diferentes base de dados podem ser corrigidas no decorrer do processo, apesar de serem também muito importantes.",5,5,4,5,5,4,4,5,4,4,4,4,5,,"Geralmente o foco se dá inicialmente na qualidade dos dados em termos de serem precisos, completos e atuais. Em um segunda momento pensamos na questão do usuário do sistema e como tornar esse dados mais legíveis. Finalmente, em como otimizar o processamento/pipeline tornando melhor a experiência.",Não existe uma estratégia formal para assegurar a qualidade dos dados durante o desenvolvimento.,"Análise de métricas de performance (ex.: precisão, recall)",2,Reuniões de Alinhamento,"Dados desatualizados ou não confiáveis, Dificuldade na rastreabilidade e versionamento dos dados, Falta de ferramentas adequadas para validação da qualidade dos dados",1,Brazil,Southeast,Brazil,Full (6 to 9 years),ML Engineer,male,35-44,Doctorate,ensures_consistency_traceability,3,Full (6 to 9 years)
pt,2025-02-21 14:50:45,Aceito participar,SP,3,4,4,4,4,4,4,3,3,5,5,interdisciplinaridade,análise,autorização,especialistas,técnica,"Sim, já participei e principalmente em disciplinas na universidade. Não é a etapa do projeto que mais me instigou, mas achei de extremamente importância porque era o que nos guiava tanto no desenvolvimento como a compartilhar as etapas de desenvolvimento com quem não participava do projeto.",5,4,5,5,5,5,5,5,5,5,5,5,5,"Para mim todas as características são de extrema importância, pois a garantia delas influenciam muito positivamente o desenvolvimento de sistemas que utilizam aprendizado de máquina. Dados de má qualidade (e aqui má qualidade vai desde a falta de disponibilidade a dados com pouca precisão e pouco representativos) são um grande problema na área e dificultam o desenvolvimento de novas técnicas.",4,4,5,5,5,5,5,4,4,5,4,5,5,"São as características que vejo como essenciais para reproduzir técnicas, seja para fins de pesquisa ou mercado. A garantia delas influencia também em um desenvolvimento mais rápido.","Até agora não participei precisamente do desenvolvimento de um sistema que usa aprendizado de máquina, pois só trabalhei com isso no mestrado. Eu trabalho com imagens médicas, a conciliação que precisei fazer foi basicamente entre a falta de consistência (no que se refere a possuir contradição entre diferentes fontes) e atualidade (de um ponto de vista geográfico, por não representar a população brasileira) com compreensibilidade (pois são dados que possuem documentação clara), disponibilidade, acessibilidade e principalmente com credibilidade, pois são dados disponibilizados por uma agência da Organização das Nações Unidas. E tudo isso será documentado, deixando claro como foi o processo de obter esses dados e como entrar em contato para tal.","Conjuntos de testes são aplicados para validar a consistência, completude e precisão dos dados antes de serem usados no treinamento.","Análise de métricas de performance (ex.: precisão, recall), Revisão manual dos resultados",2,"Documentação Centralizada (Sistemas como Confluence, Google Docs ou Notion), Reuniões de Alinhamento","Dados incompletos ou ausentes, Dados desatualizados ou não confiáveis, Erros introduzidos durante a coleta e processamento, Dificuldade na rastreabilidade e versionamento dos dados, Falta de ferramentas adequadas para validação da qualidade dos dados",,Brazil,Southeast,Brazil,Junior (up to 5 years),Data Scientist,female,25-34,Master's student,ensures_consistency_traceability,2,Junior (up to 5 years)
pt,2025-02-22 17:44:35,Aceito participar,CE,5,5,5,1,3,4,4,5,5,5,2,dataset,qualidade,quantidade,pipeline,outliners,"Nesse caso, minha experiência nessa parte é mais voltada para a documentação do código e na criação de diagramas referentes a pipelines,  já participei de algumas auditorias feitas pelo time de requisitos mas não me considero uma pessoa com experiência na área. ",5,4,4,4,3,5,2,5,4,2,5,5,5,,5,5,5,5,2,5,2,3,4,3,4,5,4,,"Atualmente sempre venho dando mais ênfase na precisão dos dados, seguido da compreensibilidade e eficiência. Dou prioridade para essa ordem por alguns motivos, o principal deles sendo que (em minhas experiências) quando se utiliza um dataset que não representa dados reais ou realmente representativos do que queremos que os modelos de aprendizado de máquina aprendam o resultado não é satisfatório, a compreensibilidade vem logo em seguida pois facilita tanto o trabalho de ETL (carregar os dados para treinar os modelos) tanto para futura documentação e demonstração dos resultados obtidos pelos modelos, e por fim a eficiência computacional visto que também é preciso manter a capacidade de rodar os modelos com o hardware que for usado. Uma situação que me recordo foi quando estive numa equipe e tivemos que fazer uma escolha entre dois datasets que tinhamos disponíveis para utilizar em um projeto, um deles mais robusto que o outro porém que iria demandar muito mais poder computacional para treinar os modelos em cima dele, no fim acabamos escolhendo ele por representar melhor o tipo de dado que queriamos apresentar no final do projeto. ","Avaliação inicial durante a coleta e preparação de dados, Monitoramento contínuo durante todo o ciclo de vida do modelo, Conjuntos de testes são aplicados para validar a consistência, completude e precisão dos dados antes de serem usados no treinamento.","Análise de métricas de performance (ex.: precisão, recall), Revisão manual dos resultados, Em um projeto atual, são colocadas todas as métricas obtidas pelos modelos que estão sendo testados em uma planilha e organizamos todas as métricas que estão sendo cabiveis para esse projeto assim como as matrizes de confusão para cada modelo, assim podemos ordenar facilmente entre as métricas que queremos observar (estamos focando mais em Recall por ser um projeto voltado para saúde e assim é necessário ter o minímo de falsos negativos possíveis).",4,"Linguagem estruturada (texto), Ferramentas de Gerenciamento de Projetos (Jira, Trello ou Asana), Reuniões de Alinhamento, Slack","Inconsistência entre diferentes fontes de dados, Dados incompletos ou ausentes, Falta de padronização nos formatos de dados, Dados desatualizados ou não confiáveis, Estrutura dos dados, Natureza dos dados",1,Brazil,Northeast,Brazil,Junior (up to 5 years),Data Engineer,male,18-24,Undergraduate,ensures_consistency_traceability,2,Junior (up to 5 years)
pt,2025-02-22 18:09:04,Aceito participar,CE,1,4,3,3,4,2,3,3,2,3,3,keys,descritivo,afirmativo,coesão,identificável,Somente documentação de dependências e bibliotecas.,5,4,5,5,2,3,5,5,5,2,2,4,4,"Os dados precisão refletir com eficiência e sem muitos erros, ao qual ele é proposto ou indica, os dados precisam ser compreensíveis até certo ponto para os humanos, precisam ser confiáveis, em termos de garantir que a informação final não esteja errada se comparada ao esperado no mundo real. ",5,3,4,3,3,4,5,5,5,3,3,4,3,,"Em visão computacional, os dados agrupados formam uma informação sobre a imagem, essa informação precisa ser precisa a imagem, compreensível pela máquina e a depender da quantidade, não pode ser muito grande, ou seja, precisa ser direta e com exatidão. ","Avaliação inicial durante a coleta e preparação de dados, Monitoramento contínuo durante todo o ciclo de vida do modelo","Análise de métricas de performance (ex.: precisão, recall), Revisão manual dos resultados",4,"Linguagem estruturada (texto), Documentação Centralizada (Sistemas como Confluence, Google Docs ou Notion), Reuniões de Alinhamento","Dados incompletos ou ausentes, Falta de padronização nos formatos de dados, Dados desatualizados ou não confiáveis",3,Brazil,Northeast,Brazil,Trainee,Data Scientist,male,18-24,Undergraduate,ensures_consistency_traceability,1,Trainee
pt,2025-02-22 18:36:56,Aceito participar,AL,3,4,4,5,4,5,5,4,4,4,4,relevância,consistência,precisão,credibilidade,acessibilidade,"Sim, já participei de processos de refinamento de requisitos, onde discutimos com a equipe a complexidade e capacidade do time para construir as soluções.",4,2,4,4,3,4,3,5,4,5,4,4,4,,4,3,4,4,2,4,3,5,4,5,4,4,4,Confiabilidade para garantir que os dados realmente refletem a área de conhecimento que está como alvo.,"As vezes os dados podem não estarem completos, mas a confiabilidade pode ser mais alta.","Conjuntos de testes são aplicados para validar a consistência, completude e precisão dos dados antes de serem usados no treinamento.","Testes A/B, Análise de métricas de performance (ex.: precisão, recall)",4,"Documentação Centralizada (Sistemas como Confluence, Google Docs ou Notion), Reuniões de Alinhamento","Inconsistência entre diferentes fontes de dados, Dados incompletos ou ausentes, Dados desatualizados ou não confiáveis, Erros introduzidos durante a coleta e processamento",2,Brazil,Northeast,Brazil,Senior (10+ years),Developer,male,25-34,Master,ensures_consistency_traceability,4,Senior (10+ years)
pt,2025-02-22 23:41:07,Aceito participar,RS,0,,4,4,2,2,3,2,3,3,3,relevância,consistência,integridade,acessibilidade,segurança,"Sim, participo e acontece no escopo analise e desenho dos processos de negócio implicados na mudança resolvida com o projeto. ",5,5,5,5,4,4,5,5,3,4,4,4,5,Dependem do escopo do projeto e o do objetivo do aprendizado ,5,5,5,5,5,5,5,5,5,5,5,5,5,,"Varia segundo o objetivo do aprendizado, fontes e metricas dos rótulos ",Monitoramento contínuo durante todo o ciclo de vida do modelo,"Análise de métricas de performance (ex.: precisão, recall)",4,"Linguagem estruturada (texto), Reuniões de Alinhamento","Inconsistência entre diferentes fontes de dados, Dados incompletos ou ausentes, Falta de padronização nos formatos de dados, Dados desatualizados ou não confiáveis, Erros introduzidos durante a coleta e processamento",2,Brazil,South,Brazil,Full (6 to 9 years),Product owner,male,45-54,Specialization,ensures_consistency_traceability,3,Full (6 to 9 years)
pt,2025-02-24 08:46:57,Aceito participar,BA,40,5,5,5,5,5,4,4,3,5,5,consistência,corretude,representatividade,conformidade,rastreabilidade,Não,5,5,5,5,4,4,5,5,4,5,3,4,4,"Para a elaboração de sistemas de ML corretos e efetivos, os dados precisam ser consistentes, completos e precisos. Se isso não acontecer, todo o resultado proveniente do seu pipeline de ML pode estar comprometido. A conformidade é importante para a própria construção dos pipelines, já que os seus dados precisam estar padronizados para serem alimentados no seu sistema de ML. Quanto a confiabilidade e a rastreabilidade, a primeira relaciona-se à consistência, o que é essencial em sistemas de ML, enquanto a última é super importante para a execução de testes com dados mais antigos, realização de debugs ou até mesmo processos de rollback.",5,5,5,5,4,4,5,5,3,5,3,3,4,,"Deve-se sempre entender o problema a ser solucionado para dar importância maior para uma característica em detrimento de outras. A completude, por exemplo, é uma característica muito importante já que os dados precisam estar ""completos"" para serem alimentados em um sistema de ML. A consistência e a credibilidade, por exemplo, podem ser características a serem balanceadas. Por vezes, encontramos inconsistências em nossas fontes de dados e precisamos optar pela fonte de maior credibilidade","Avaliação inicial durante a coleta e preparação de dados, Monitoramento contínuo durante todo o ciclo de vida do modelo, Conjuntos de testes são aplicados para validar a consistência, completude e precisão dos dados antes de serem usados no treinamento.","Testes A/B, Análise de métricas de performance (ex.: precisão, recall)",4,"Linguagem estruturada (texto), Ferramentas de Gerenciamento de Projetos (Jira, Trello ou Asana), Documentação Centralizada (Sistemas como Confluence, Google Docs ou Notion), Reuniões de Alinhamento","Inconsistência entre diferentes fontes de dados, Dados incompletos ou ausentes, Dados desatualizados ou não confiáveis, Falta de ferramentas adequadas para validação da qualidade dos dados",2,Brazil,Northeast,Brazil,Senior (10+ years),Data Scientist,male,35-44,Doctorate,ensures_consistency_traceability,4,Senior (10+ years)
pt,2025-02-27 11:37:55,Aceito participar,BA,10,4,4,3,4,3,4,3,3,3,3,tempo,otimização,reuso,integração,precisão,Sim,1,2,1,1,1,1,1,1,2,2,1,1,1,,2,1,1,1,2,1,1,1,2,1,1,1,1,,O problema é quando os dados nao sao consitentes o incopletos a inferência e resultado final o cliente pode ser confuso e incompleto. Precisa de refazer o processo varias vezes isso leva a gastos de infra em todo o fluxo,"Avaliação inicial durante a coleta e preparação de dados, Monitoramento contínuo durante todo o ciclo de vida do modelo, Conjuntos de testes são aplicados para validar a consistência, completude e precisão dos dados antes de serem usados no treinamento.","Testes A/B, Análise de métricas de performance (ex.: precisão, recall), Revisão manual dos resultados",5,"Linguagem estruturada (texto), Documentação Centralizada (Sistemas como Confluence, Google Docs ou Notion), No mesmo MR","Inconsistência entre diferentes fontes de dados, Dados incompletos ou ausentes",4,Brazil,Northeast,Brazil,Senior (10+ years),Developer,male,45-54,Doctorate,ensures_consistency_traceability,4,Senior (10+ years)
pt,2025-02-27 11:43:57,Aceito participar,CE,11,4,5,3,5,5,4,4,4,1,5,prazo,requisito,integração,qualidade,desempenho,"Diria que minha experiência em Engenharia de Requisitos é limitada; seria mais preciso dizer que tenho bastante experiência na coleta de requisitos. Já participei de diversas definições, análises e documentações breves, mas os prazos sempre foram extremamente curtos para realizar um estudo aprofundado. Isso ocorre porque, muitas vezes, é necessário propor uma solução rapidamente e submetê-la para aprovação. Além disso, a postura do cliente influencia bastante esse processo. Frequentemente, investimos muito tempo tentando extrair dele os pontos-chave daquilo que ele acredita precisar, para então conseguirmos estruturar minimamente as informações. É claro que isso varia conforme o porte da empresa. Empresas com menor capital tendem a ser mais exploratórias e desorganizadas, enquanto as de capital elevado costumam ser mais restritivas e objetivas. No entanto, sempre há exceções, e algumas grandes empresas fazem exigências tão peculiares que acabam dificultando ainda mais a estruturação do projeto.",5,5,5,5,5,5,5,5,5,5,5,5,5,"Consigo imaginar diversos cenários em que todas essas palavras são extremamente importantes de alguma forma. No entanto, acredito que há uma diferença entre algo ser importante e ser necessário para um projeto, especialmente quando se trata de um projeto piloto. Muitas vezes, esses dois aspectos entram em conflito, pois a importância de certos elementos é limitada pela urgência dos prazos, impedindo que coexistam de maneira adequada.",3,3,3,3,3,3,3,3,3,3,3,3,3,"Consigo imaginar diversos cenários em que todas essas palavras são extremamente essenciais também. Mas vai depender demais do projeto em questão, então prefiro colocar neutro. ","O que costumo ver com muita frequência é ver primeiro o resultado e depois avaliar como ele poderia ser melhorado, revisitando essas características. Aqui depende muito do tipo do projeto também.",Não existe uma estratégia formal para assegurar a qualidade dos dados durante o desenvolvimento.,Revisão manual dos resultados,2,Reuniões de Alinhamento,"Inconsistência entre diferentes fontes de dados, Dados incompletos ou ausentes, Falta de padronização nos formatos de dados, Dados desatualizados ou não confiáveis, Erros introduzidos durante a coleta e processamento, Dificuldade na rastreabilidade e versionamento dos dados, Falta de ferramentas adequadas para validação da qualidade dos dados",1,Brazil,Northeast,Brazil,Senior (10+ years),Developer,male,25-34,Doctorate,ensures_consistency_traceability,4,Senior (10+ years)
